SampleID,FieldID,Date collected,Lat,Long,SamplingMethod,Month,Sector
KBIMP_002_D12,CBAY0022,25-Jul-24,69.132477,-104.988683,Sweep net,Jul,CBAY
KBIMP_002_E1,CBAY0022,25-Jul-24,69.132477,-104.988683,Sweep net,Jul,CBAY
KBIMP_002_E2,CBAY0022,25-Jul-24,69.132477,-104.988683,Sweep net,Jul,CBAY
KBIMP_002_E3,CBAY0022,25-Jul-24,69.132477,-104.988683,Sweep net,Jul,CBAY
KBIMP_002_E4,CBAY0022,25-Jul-24,69.132477,-104.988683,Sweep net,Jul,CBAY
KBIMP_002_E5,CBAY0022,25-Jul-24,69.132477,-104.988683,Sweep net,Jul,CBAY
KBIMP_002_E6,CBAY0036,25-Jul-24,69.132925,-105.461572,Sweep net,Jul,CBAY
KBIMP_002_E7,CBAY0036,25-Jul-24,69.132925,-105.461572,Sweep net,Jul,CBAY
KBIMP_002_E8,CBAY0036,25-Jul-24,69.132925,-105.461572,Sweep net,Jul,CBAY
KBIMP_002_E9,CBAY0036,25-Jul-24,69.132925,-105.461572,Sweep net,Jul,CBAY
KBIMP_002_E10,CBAY0036,25-Jul-24,69.132925,-105.461572,Sweep net,Jul,CBAY
KBIMP_002_E11,CBAY0036,25-Jul-24,69.132925,-105.461572,Sweep net,Jul,CBAY
KBIMP_002_E12,CBAY0036,25-Jul-24,69.132925,-105.461572,Sweep net,Jul,CBAY
KBIMP_002_F1,CBAY0036,25-Jul-24,69.132925,-105.461572,Sweep net,Jul,CBAY
KBIMP_002_F2,CBAY0036,25-Jul-24,69.132925,-105.461572,Sweep net,Jul,CBAY
KBIMP_002_F3,CBAY0036,25-Jul-24,69.132925,-105.461572,Sweep net,Jul,CBAY
KBIMP_002_F4,CBAY0036,25-Jul-24,69.132925,-105.461572,Sweep net,Jul,CBAY
KBIMP_002_F5,CBAY0036,25-Jul-24,69.132925,-105.461572,Sweep net,Jul,CBAY
KBIMP_002_F6,CBAY0036,25-Jul-24,69.132925,-105.461572,Sweep net,Jul,CBAY
KBIMP_002_F7,CBAY0036,25-Jul-24,69.132925,-105.461572,Sweep net,Jul,CBAY
KBIMP_002_F8,CBAY0036,25-Jul-24,69.132925,-105.461572,Sweep net,Jul,CBAY
KBIMP_002_F9,CBAY0036,25-Jul-24,69.132925,-105.461572,Sweep net,Jul,CBAY
KBIMP_003_D5,CBAY0036,25-Jul-24,69.132925,-105.461572,Sweep net,Jul,CBAY
KBIMP_003_D6,CBAY0036,25-Jul-24,69.132925,-105.461572,Sweep net,Jul,CBAY
KBIMP_003_D7,CBAY0036,25-Jul-24,69.132925,-105.461572,Sweep net,Jul,CBAY
KBIMP_003_D8,CBAY0036,25-Jul-24,69.132925,-105.461572,Sweep net,Jul,CBAY
KBIMP_003_D9,CBAY0036,25-Jul-24,69.132925,-105.461572,Sweep net,Jul,CBAY
KBIMP_003_D10,CBAY0036,25-Jul-24,69.132925,-105.461572,Sweep net,Jul,CBAY
KBIMP_003_D11,CBAY0036,25-Jul-24,69.132925,-105.461572,Sweep net,Jul,CBAY
KBIMP_003_D12,CBAY0036,25-Jul-24,69.132925,-105.461572,Sweep net,Jul,CBAY
KBIMP_003_E1,CBAY0036,25-Jul-24,69.132925,-105.461572,Sweep net,Jul,CBAY
KBIMP_003_E2,CBAY0036,25-Jul-24,69.132925,-105.461572,Sweep net,Jul,CBAY
KBIMP_003_E3,CBAY0036,25-Jul-24,69.132925,-105.461572,Sweep net,Jul,CBAY
KBIMP_003_E4,CBAY0036,25-Jul-24,69.132925,-105.461572,Sweep net,Jul,CBAY
KBIMP-_006_G5,CBAY0039,28-Jul-24,69.130466,-104.996363,Sweep net,Jul,CBAY
KBIMP_004_F1,CBAY0039,28-Jul-24,69.130466,-104.996363,Sweep net,Jul,CBAY
KBIMP_004_F2,CBAY0039,28-Jul-24,69.130466,-104.996363,Sweep net,Jul,CBAY
KBIMP_004_F3,CBAY0039,28-Jul-24,69.130466,-104.996363,Sweep net,Jul,CBAY
KBIMP_004_F4,CBAY0039,28-Jul-24,69.130466,-104.996363,Sweep net,Jul,CBAY
KBIMP_004_F5,CBAY0039,28-Jul-24,69.130466,-104.996363,Sweep net,Jul,CBAY
KBIMP_004_F6,CBAY0039,28-Jul-24,69.130466,-104.996363,Sweep net,Jul,CBAY
KBIMP_004_F7,CBAY0039,28-Jul-24,69.130466,-104.996363,Sweep net,Jul,CBAY
KBIMP_004_F8,CBAY0039,28-Jul-24,69.130466,-104.996363,Sweep net,Jul,CBAY
KBIMP_004_F9,CBAY0039,28-Jul-24,69.130466,-104.996363,Sweep net,Jul,CBAY
KBIMP_004_F10,CBAY0039,28-Jul-24,69.130466,-104.996363,Sweep net,Jul,CBAY
KBIMP_004_F11,CBAY0039,28-Jul-24,69.130466,-104.996363,Sweep net,Jul,CBAY
KBIMP-_006_G6,CBAY0039,28-Jul-24,69.130466,-104.996363,Sweep net,Jul,CBAY
KBIMP_004_G1,CBAY0039,28-Jul-24,69.130466,-104.996363,Sweep net,Jul,CBAY
KBIMP_004_G2,CBAY0039,28-Jul-24,69.130466,-104.996363,Sweep net,Jul,CBAY
KBIMP-_005_C1,CBAY0033,28-Jul-24,69.134216,-104.989923,Sweep net,Jul,CBAY
KBIMP-_005_C2,CBAY0033,28-Jul-24,69.134216,-104.989923,Sweep net,Jul,CBAY
KBIMP-_005_C3,CBAY0033,28-Jul-24,69.134216,-104.989923,Sweep net,Jul,CBAY
KBIMP-_005_C4,CBAY0033,28-Jul-24,69.134216,-104.989923,Sweep net,Jul,CBAY
KBIMP-_005_C5,CBAY0033,28-Jul-24,69.134216,-104.989923,Sweep net,Jul,CBAY
KBIMP-_005_C6,CBAY0033,28-Jul-24,69.134216,-104.989923,Sweep net,Jul,CBAY
KBIMP-_005_C7,CBAY0033,28-Jul-24,69.134216,-104.989923,Sweep net,Jul,CBAY
KBIMP-_005_C8,CBAY0033,28-Jul-24,69.134216,-104.989923,Sweep net,Jul,CBAY
KBIMP-_005_C9,CBAY0033,28-Jul-24,69.134216,-104.989923,Sweep net,Jul,CBAY
KBIMP-_005_C10,CBAY0033,28-Jul-24,69.134216,-104.989923,Sweep net,Jul,CBAY
KBIMP-_005_C11,CBAY0033,28-Jul-24,69.134216,-104.989923,Sweep net,Jul,CBAY
KBIMP-_006_D7,CBAY0032,28-Jul-24,69.11926,-105.127426,Sweep net,Jul,CBAY
KBIMP-_006_D8,CBAY0032,28-Jul-24,69.11926,-105.127426,Sweep net,Jul,CBAY
KBIMP-_006_D9,CBAY0032,28-Jul-24,69.11926,-105.127426,Sweep net,Jul,CBAY
KBIMP-_006_D10,CBAY0032,28-Jul-24,69.11926,-105.127426,Sweep net,Jul,CBAY
KBIMP-_006_D11,CBAY0032,28-Jul-24,69.11926,-105.127426,Sweep net,Jul,CBAY
KBIMP-_006_D12,CBAY0032,28-Jul-24,69.11926,-105.127426,Sweep net,Jul,CBAY
KBIMP-_006_E1,CBAY0032,28-Jul-24,69.11926,-105.127426,Sweep net,Jul,CBAY
KBIMP-_006_E2,CBAY0032,28-Jul-24,69.11926,-105.127426,Sweep net,Jul,CBAY
KBIMP-_006_E3,CBAY0032,28-Jul-24,69.11926,-105.127426,Sweep net,Jul,CBAY
KBIMP-_006_E4,CBAY0032,28-Jul-24,69.11926,-105.127426,Sweep net,Jul,CBAY
KBIMP-_006_E5,CBAY0032,28-Jul-24,69.11926,-105.127426,Sweep net,Jul,CBAY
KBIMP-_006_E6,CBAY0032,28-Jul-24,69.11926,-105.127426,Sweep net,Jul,CBAY
KBIMP-_006_E7,CBAY0032,28-Jul-24,69.11926,-105.127426,Sweep net,Jul,CBAY
KBIMP-_006_E8,CBAY0032,28-Jul-24,69.11926,-105.127426,Sweep net,Jul,CBAY
KBIMP-_006_E9,CBAY0032,28-Jul-24,69.11926,-105.127426,Sweep net,Jul,CBAY
KBIMP-_006_E10,CBAY0032,28-Jul-24,69.11926,-105.127426,Sweep net,Jul,CBAY
KBIMP-_006_E11,CBAY0032,28-Jul-24,69.11926,-105.127426,Sweep net,Jul,CBAY
KBIMP-_006_E12,CBAY0032,28-Jul-24,69.11926,-105.127426,Sweep net,Jul,CBAY
KBIMP-_006_F1,CBAY0032,28-Jul-24,69.11926,-105.127426,Sweep net,Jul,CBAY
KBIMP-_006_F2,CBAY0032,28-Jul-24,69.11926,-105.127426,Sweep net,Jul,CBAY
KBIMP-_005_E8,CBAY0048,21-Jul-24,69.20535,-104.77646,Malaise trap,Jul,CBAY
KBIMP-_005_E9,CBAY0048,21-Jul-24,69.20535,-104.77646,Malaise trap,Jul,CBAY
KBIMP-_005_E10,CBAY0048,21-Jul-24,69.20535,-104.77646,Malaise trap,Jul,CBAY
KBIMP-_005_E11,CBAY0048,21-Jul-24,69.20535,-104.77646,Malaise trap,Jul,CBAY
KBIMP-_005_E12,CBAY0048,21-Jul-24,69.20535,-104.77646,Malaise trap,Jul,CBAY
KBIMP-_005_F1,CBAY0048,21-Jul-24,69.20535,-104.77646,Malaise trap,Jul,CBAY
KBIMP-_005_F2,CBAY0048,21-Jul-24,69.20535,-104.77646,Malaise trap,Jul,CBAY
KBIMP-_005_F3,CBAY0048,21-Jul-24,69.20535,-104.77646,Malaise trap,Jul,CBAY
KBIMP-_005_F4,CBAY0048,21-Jul-24,69.20535,-104.77646,Malaise trap,Jul,CBAY
KBIMP-_005_F5,CBAY0048,21-Jul-24,69.20535,-104.77646,Malaise trap,Jul,CBAY
KBIMP-_005_F6,CBAY0048,21-Jul-24,69.20535,-104.77646,Malaise trap,Jul,CBAY
KBIMP-_006_A12,CBAY0043,21-Jul-24,69.12861,-104.98722,Malaise trap,Jul,CBAY
KBIMP-_006_B1,CBAY0043,21-Jul-24,69.12861,-104.98722,Malaise trap,Jul,CBAY
KBIMP-_006_B2,CBAY0043,21-Jul-24,69.12861,-104.98722,Malaise trap,Jul,CBAY
KBIMP-_006_B3,CBAY0043,21-Jul-24,69.12861,-104.98722,Malaise trap,Jul,CBAY
KBIMP-_006_B4,CBAY0043,21-Jul-24,69.12861,-104.98722,Malaise trap,Jul,CBAY
KBIMP-_006_B5,CBAY0043,21-Jul-24,69.12861,-104.98722,Malaise trap,Jul,CBAY
KBIMP-_006_B6,CBAY0043,21-Jul-24,69.12861,-104.98722,Malaise trap,Jul,CBAY
KBIMP-_006_B7,CBAY0043,21-Jul-24,69.12861,-104.98722,Malaise trap,Jul,CBAY
KBIMP-_006_B8,CBAY0043,21-Jul-24,69.12861,-104.98722,Malaise trap,Jul,CBAY
KBIMP-_006_B9,CBAY0043,21-Jul-24,69.12861,-104.98722,Malaise trap,Jul,CBAY
KBIMP-_006_B10,CBAY0043,21-Jul-24,69.12861,-104.98722,Malaise trap,Jul,CBAY
KBIMP-_006_B11,CBAY0043,21-Jul-24,69.12861,-104.98722,Malaise trap,Jul,CBAY
KBIMP-_006_B12,CBAY0043,21-Jul-24,69.12861,-104.98722,Malaise trap,Jul,CBAY
KBIMP-_006_C1,CBAY0043,21-Jul-24,69.12861,-104.98722,Malaise trap,Jul,CBAY
KBIMP-_006_C2,CBAY0043,21-Jul-24,69.12861,-104.98722,Malaise trap,Jul,CBAY
KBIMP-_006_C3,CBAY0043,21-Jul-24,69.12861,-104.98722,Malaise trap,Jul,CBAY
KBIMP-_006_C4,CBAY0043,21-Jul-24,69.12861,-104.98722,Malaise trap,Jul,CBAY
KBIMP-_006_C5,CBAY0043,21-Jul-24,69.12861,-104.98722,Malaise trap,Jul,CBAY
KBIMP-_006_C6,CBAY0043,21-Jul-24,69.12861,-104.98722,Malaise trap,Jul,CBAY
KBIMP-_006_C7,CBAY0043,21-Jul-24,69.12861,-104.98722,Malaise trap,Jul,CBAY
KBIMP-_007_C6,KGLTK0014,30-Jul,67 49.2122,115 05.0807,Malaise trap,Jul,KGLTK
KBIMP-_007_C7,KGLTK0014,30-Jul,67 49.2122,115 05.0807,Malaise trap,Jul,KGLTK
KBIMP-_007_C8,KGLTK0014,30-Jul,67 49.2122,115 05.0807,Malaise trap,Jul,KGLTK
KBIMP-_007_C9,KGLTK0014,30-Jul,67 49.2122,115 05.0807,Malaise trap,Jul,KGLTK
KBIMP-_007_C10,KGLTK0014,30-Jul,67 49.2122,115 05.0807,Malaise trap,Jul,KGLTK
KBIMP-_007_C11,KGLTK0014,30-Jul,67 49.2122,115 05.0807,Malaise trap,Jul,KGLTK
KBIMP-_007_C12,KGLTK0014,30-Jul,67 49.2122,115 05.0807,Malaise trap,Jul,KGLTK
KBIMP-_007_D1,KGLTK0014,30-Jul,67 49.2122,115 05.0807,Malaise trap,Jul,KGLTK
KBIMP-_007_D2,KGLTK0014,30-Jul,67 49.2122,115 05.0807,Malaise trap,Jul,KGLTK
KBIMP-_007_D3,KGLTK0014,30-Jul,67 49.2122,115 05.0807,Malaise trap,Jul,KGLTK
KBIMP-_007_A3,KGLTK0032,06-Aug,67 49.7282,115 05.7444,Malaise trap,Aug,KGLTK
KBIMP-_007_A4,KGLTK0032,06-Aug,67 49.7282,115 05.7444,Malaise trap,Aug,KGLTK
KBIMP-_007_A5,KGLTK0032,06-Aug,67 49.7282,115 05.7444,Malaise trap,Aug,KGLTK
KBIMP-_007_A6,KGLTK0032,06-Aug,67 49.7282,115 05.7444,Malaise trap,Aug,KGLTK
KBIMP-_007_A7,KGLTK0032,06-Aug,67 49.7282,115 05.7444,Malaise trap,Aug,KGLTK
KBIMP-_007_A8,KGLTK0032,06-Aug,67 49.7282,115 05.7444,Malaise trap,Aug,KGLTK
KBIMP-_007_A9,KGLTK0032,06-Aug,67 49.7282,115 05.7444,Malaise trap,Aug,KGLTK
KBIMP-_007_A10,KGLTK0032,06-Aug,67 49.7282,115 05.7444,Malaise trap,Aug,KGLTK
KBIMP_003_G4,CBAY0047,31-Jul-24,69.133033,-105.462978,Sweep net,Jul,CBAY
KBIMP-_007_H9,KGLTK0019,31-Jul,67 51.0830,115 16.3340,Malaise trap,Jul,KGLTK
KBIMP-_007_H10,KGLTK0019,31-Jul,67 51.0830,115 16.3340,Malaise trap,Jul,KGLTK
KBIMP-_007_H11,KGLTK0019,31-Jul,67 51.0830,115 16.3340,Malaise trap,Jul,KGLTK
KBIMP-_008_A1,KGLTK0019,31-Jul,67 51.0830,115 16.3340,Malaise trap,Jul,KGLTK
KBIMP-_008_A2,KGLTK0019,31-Jul,67 51.0830,115 16.3340,Malaise trap,Jul,KGLTK
KBIMP-_008_A3,KGLTK0019,31-Jul,67 51.0830,115 16.3340,Malaise trap,Jul,KGLTK
KBIMP-_008_A4,KGLTK0019,31-Jul,67 51.0830,115 16.3340,Malaise trap,Jul,KGLTK
KBIMP-_008_A5,KGLTK0019,31-Jul,67 51.0830,115 16.3340,Malaise trap,Jul,KGLTK
KBIMP-_008_A6,KGLTK0019,31-Jul,67 51.0830,115 16.3340,Malaise trap,Jul,KGLTK
KBIMP-_008_A7,KGLTK0019,31-Jul,67 51.0830,115 16.3340,Malaise trap,Jul,KGLTK
KBIMP-_008_A8,KGLTK0019,31-Jul,67 51.0830,115 16.3340,Malaise trap,Jul,KGLTK
KBIMP_004_A11,CBAY0056,31-Jul-24,69.13281,-105.4632,Malaise trap,Jul,CBAY
KBIMP_004_A12,CBAY0056,31-Jul-24,69.13281,-105.4632,Malaise trap,Jul,CBAY
KBIMP_004_B1,CBAY0056,31-Jul-24,69.13281,-105.4632,Malaise trap,Jul,CBAY
KBIMP_004_B2,CBAY0056,31-Jul-24,69.13281,-105.4632,Malaise trap,Jul,CBAY
KBIMP_004_B3,CBAY0056,31-Jul-24,69.13281,-105.4632,Malaise trap,Jul,CBAY
KBIMP_004_B4,CBAY0056,31-Jul-24,69.13281,-105.4632,Malaise trap,Jul,CBAY
KBIMP_004_B5,CBAY0056,31-Jul-24,69.13281,-105.4632,Malaise trap,Jul,CBAY
KBIMP_004_B6,CBAY0056,31-Jul-24,69.13281,-105.4632,Malaise trap,Jul,CBAY
KBIMP_004_B7,CBAY0056,31-Jul-24,69.13281,-105.4632,Malaise trap,Jul,CBAY
KBIMP_004_B8,CBAY0056,31-Jul-24,69.13281,-105.4632,Malaise trap,Jul,CBAY
KBIMP_004_B9,CBAY0056,31-Jul-24,69.13281,-105.4632,Malaise trap,Jul,CBAY
KBIMP_004_B10,CBAY0056,31-Jul-24,69.13281,-105.4632,Malaise trap,Jul,CBAY
KBIMP_004_B11,CBAY0056,31-Jul-24,69.13281,-105.4632,Malaise trap,Jul,CBAY
KBIMP_004_B12,CBAY0056,31-Jul-24,69.13281,-105.4632,Malaise trap,Jul,CBAY
KBIMP_004_C1,CBAY0056,31-Jul-24,69.13281,-105.4632,Malaise trap,Jul,CBAY
KBIMP_004_C2,CBAY0056,31-Jul-24,69.13281,-105.4632,Malaise trap,Jul,CBAY
KBIMP_004_C3,CBAY0056,31-Jul-24,69.13281,-105.4632,Malaise trap,Jul,CBAY
KBIMP_004_C4,CBAY0056,31-Jul-24,69.13281,-105.4632,Malaise trap,Jul,CBAY
KBIMP_004_C5,CBAY0056,31-Jul-24,69.13281,-105.4632,Malaise trap,Jul,CBAY
KBIMP_004_C6,CBAY0056,31-Jul-24,69.13281,-105.4632,Malaise trap,Jul,CBAY
KBIMP_004_D5,CBAY0025,31-Jul-24,69.158448,-105.190938,Malaise trap,Jul,CBAY
KBIMP_004_D6,CBAY0025,31-Jul-24,69.158448,-105.190938,Malaise trap,Jul,CBAY
KBIMP_004_D7,CBAY0025,31-Jul-24,69.158448,-105.190938,Malaise trap,Jul,CBAY
KBIMP_004_D8,CBAY0025,31-Jul-24,69.158448,-105.190938,Malaise trap,Jul,CBAY
KBIMP_004_D9,CBAY0025,31-Jul-24,69.158448,-105.190938,Malaise trap,Jul,CBAY
KBIMP_004_D10,CBAY0025,31-Jul-24,69.158448,-105.190938,Malaise trap,Jul,CBAY
KBIMP_004_D11,CBAY0025,31-Jul-24,69.158448,-105.190938,Malaise trap,Jul,CBAY
KBIMP-_006_G4,CBAY0025,31-Jul-24,69.158448,-105.190938,Malaise trap,Jul,CBAY
KBIMP_004_E1,CBAY0025,31-Jul-24,69.158448,-105.190938,Malaise trap,Jul,CBAY
KBIMP_004_E2,CBAY0025,31-Jul-24,69.158448,-105.190938,Malaise trap,Jul,CBAY
KBIMP-_005_A1,CBAY0025,31-Jul-24,69.158448,-105.190938,Malaise trap,Jul,CBAY
KBIMP-_008_D7,KGLTK0018,31-Jul,67 48.5939,115 07.5350,Malaise trap,Jul,KGLTK
KBIMP-_008_D8,KGLTK0018,31-Jul,67 48.5939,115 07.5350,Malaise trap,Jul,KGLTK
KBIMP-_008_D9,KGLTK0018,31-Jul,67 48.5939,115 07.5350,Malaise trap,Jul,KGLTK
KBIMP-_008_D10,KGLTK0018,31-Jul,67 48.5939,115 07.5350,Malaise trap,Jul,KGLTK
KBIMP-_008_D11,KGLTK0018,31-Jul,67 48.5939,115 07.5350,Malaise trap,Jul,KGLTK
KBIMP-_008_D12,KGLTK0018,31-Jul,67 48.5939,115 07.5350,Malaise trap,Jul,KGLTK
KBIMP-_008_E1,KGLTK0018,31-Jul,67 48.5939,115 07.5350,Malaise trap,Jul,KGLTK
KBIMP-_008_E2,KGLTK0018,31-Jul,67 48.5939,115 07.5350,Malaise trap,Jul,KGLTK
KBIMP-_008_E3,KGLTK0018,31-Jul,67 48.5939,115 07.5350,Malaise trap,Jul,KGLTK
KBIMP-_008_E4,KGLTK0018,31-Jul,67 48.5939,115 07.5350,Malaise trap,Jul,KGLTK
KBIMP-_008_E5,KGLTK0018,31-Jul,67 48.5939,115 07.5350,Malaise trap,Jul,KGLTK
KBIMP-_008_E6,KGLTK0018,31-Jul,67 48.5939,115 07.5350,Malaise trap,Jul,KGLTK
KBIMP-_007_A11,KGLTK0015,31-Jul,67 49.3977,115 09.0248,Malaise trap,Jul,KGLTK
KBIMP-_007_A12,KGLTK0015,31-Jul,67 49.3977,115 09.0248,Malaise trap,Jul,KGLTK
KBIMP-_007_B1,KGLTK0015,31-Jul,67 49.3977,115 09.0248,Malaise trap,Jul,KGLTK
KBIMP-_007_B2,KGLTK0015,31-Jul,67 49.3977,115 09.0248,Malaise trap,Jul,KGLTK
KBIMP-_007_B3,KGLTK0015,31-Jul,67 49.3977,115 09.0248,Malaise trap,Jul,KGLTK
KBIMP-_007_B4,KGLTK0015,31-Jul,67 49.3977,115 09.0248,Malaise trap,Jul,KGLTK
KBIMP-_007_B5,KGLTK0015,31-Jul,67 49.3977,115 09.0248,Malaise trap,Jul,KGLTK
KBIMP-_007_B6,KGLTK0015,31-Jul,67 49.3977,115 09.0248,Malaise trap,Jul,KGLTK
KBIMP-_007_B7,KGLTK0015,31-Jul,67 49.3977,115 09.0248,Malaise trap,Jul,KGLTK
KBIMP-_007_B8,KGLTK0015,31-Jul,67 49.3977,115 09.0248,Malaise trap,Jul,KGLTK
KBIMP-_007_B9,KGLTK0015,31-Jul,67 49.3977,115 09.0248,Malaise trap,Jul,KGLTK
KBIMP-_007_B10,KGLTK0015,31-Jul,67 49.3977,115 09.0248,Malaise trap,Jul,KGLTK
KBIMP-_007_B11,KGLTK0015,31-Jul,67 49.3977,115 09.0248,Malaise trap,Jul,KGLTK
KBIMP-_007_B12,KGLTK0015,31-Jul,67 49.3977,115 09.0248,Malaise trap,Jul,KGLTK
KBIMP-_007_C1,KGLTK0015,31-Jul,67 49.3977,115 09.0248,Malaise trap,Jul,KGLTK
KBIMP-_007_C2,KGLTK0015,31-Jul,67 49.3977,115 09.0248,Malaise trap,Jul,KGLTK
KBIMP-_007_C3,KGLTK0015,31-Jul,67 49.3977,115 09.0248,Malaise trap,Jul,KGLTK
KBIMP-_008_F1,KGLTK0015,31-Jul,67 49.3977,115 09.0248,Malaise trap,Jul,KGLTK
KBIMP-_007_F2,KGLTK0008,08-Aug,67 49. 4286,115 09.0514,Malaise trap,Aug,KGLTK
KBIMP-_007_F3,KGLTK0008,08-Aug,67 49. 4286,115 09.0514,Malaise trap,Aug,KGLTK
KBIMP-_007_F4,KGLTK0008,08-Aug,67 49. 4286,115 09.0514,Malaise trap,Aug,KGLTK
KBIMP-_007_F5,KGLTK0008,08-Aug,67 49. 4286,115 09.0514,Malaise trap,Aug,KGLTK
KBIMP-_007_F6,KGLTK0008,08-Aug,67 49. 4286,115 09.0514,Malaise trap,Aug,KGLTK
KBIMP-_007_F7,KGLTK0008,08-Aug,67 49. 4286,115 09.0514,Malaise trap,Aug,KGLTK
KBIMP-_007_F8,KGLTK0008,08-Aug,67 49. 4286,115 09.0514,Malaise trap,Aug,KGLTK
KBIMP-_007_F9,KGLTK0008,08-Aug,67 49. 4286,115 09.0514,Malaise trap,Aug,KGLTK
KBIMP-_007_F10,KGLTK0008,08-Aug,67 49. 4286,115 09.0514,Malaise trap,Aug,KGLTK
KBIMP-_007_F11,KGLTK0008,08-Aug,67 49. 4286,115 09.0514,Malaise trap,Aug,KGLTK
KBIMP-_007_F12,KGLTK0008,08-Aug,67 49. 4286,115 09.0514,Malaise trap,Aug,KGLTK
KBIMP-_007_G1,KGLTK0008,08-Aug,67 49. 4286,115 09.0514,Malaise trap,Aug,KGLTK
KBIMP-_007_G2,KGLTK0008,08-Aug,67 49. 4286,115 09.0514,Malaise trap,Aug,KGLTK
KBIMP-_007_G3,KGLTK0008,08-Aug,67 49. 4286,115 09.0514,Malaise trap,Aug,KGLTK
KBIMP-_007_G4,KGLTK0008,08-Aug,67 49. 4286,115 09.0514,Malaise trap,Aug,KGLTK
KBIMP-_007_G5,KGLTK0008,08-Aug,67 49. 4286,115 09.0514,Malaise trap,Aug,KGLTK
KBIMP-_007_G6,KGLTK0008,08-Aug,67 49. 4286,115 09.0514,Malaise trap,Aug,KGLTK
KBIMP-_007_G7,KGLTK0008,08-Aug,67 49. 4286,115 09.0514,Malaise trap,Aug,KGLTK
KBIMP-_007_G8,KGLTK0008,08-Aug,67 49. 4286,115 09.0514,Malaise trap,Aug,KGLTK
KBIMP-_007_G9,KGLTK0008,08-Aug,67 49. 4286,115 09.0514,Malaise trap,Aug,KGLTK
KBIMP-_008_F2,KGLTK0008,08-Aug,67 49. 4286,115 09.0514,Malaise trap,Aug,KGLTK
KBIMP-_008_F3,KGLTK0008,08-Aug,67 49. 4286,115 09.0514,Malaise trap,Aug,KGLTK
KBIMP-_008_F4,KGLTK0008,08-Aug,67 49. 4286,115 09.0514,Malaise trap,Aug,KGLTK
KBIMP-_008_F5,KGLTK0008,08-Aug,67 49. 4286,115 09.0514,Malaise trap,Aug,KGLTK
KBIMP_003_E5,CBAY0046,01-Aug-24,69.119312,-105.127489,Sweep net,Aug,CBAY
KBIMP_003_E6,CBAY0046,01-Aug-24,69.119312,-105.127489,Sweep net,Aug,CBAY
