catalogNumber,recordedBy,individualCount,lifeStage,preparations,kingdom,phylum,class,order,family,genus,specificEpithet,scientificNameAuthorship,scientificName,eventId,eventDate,beginDate,endDate,verbatimEventDate,continent,country,stateProvince,locality,latitude,longitude,verbatimLatitude,verbatimLongitude,samplingProtocol,eventRemarks
ROME206299,P. Schaefer,3,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,baffinense,"Twinn, 1936","Simulium baffinense Twinn, 1936",ROM002010228,2010-07-18,2010-07-18,2010-07-18,18 Jul 2010,North America,Canada,Nunavut,"Sylvia Grinnell Territorial Park. Trickle into a tundra pond in park, 50cm stream",63.7565333,-68.5757833,63°45.392'N,68°34.547'W,,Simuliidae
ROME206300,P. Schaefer,20,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,baffinense,"Twinn, 1936","Simulium baffinense Twinn, 1936",ROM002011203,2011-07-17,2011-07-17,2011-07-17,17 Jul 2011,North America,Canada,Nunavut,"Cambridge Bay, Roadside trickle west of town just before Western Arm",69.1075833,-105.2288833,69°6.455'N,105°13.733'W,General,
ROME206301,P. Schaefer,2,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,baffinense,"Twinn, 1936","Simulium baffinense Twinn, 1936",ROM002011201,2011-07-17,2011-07-17,2011-07-17,17 Jul 2011,North America,Canada,Nunavut,"Cambridge Bay, Pond outflow E. Old Town",69.1253,-104.9993833,69°7.518'N,104°59.963'W,General,
ROME206302,P. Schaefer,1,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,baffinense,"Twinn, 1936","Simulium baffinense Twinn, 1936",ROM002011191,2011-07-12,2011-07-12,2011-07-12,12 Jul 2011,North America,Canada,Nunavut,"Cambridge Bay, Ice melt flow into ocean along beach E. town",69.08735,-104.9389167,69°5.241'N,104°56.335'W,General,
ROME206303,P. Schaefer,30,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,baffinense,"Twinn, 1936","Simulium baffinense Twinn, 1936",ROM002011193,2011-07-13,2011-07-13,2011-07-13,13 Jul 2011,North America,Canada,Nunavut,"Cambridge Bay, Small ice melt stream into ocean next to blue cabin by beach",69.1543833,-105.5398667,69°9.263'N,105°32.392'W,General,
ROME206304,P. Schaefer,50,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,baffinense,"Twinn, 1936","Simulium baffinense Twinn, 1936",ROM002011204,2011-07-17,2011-07-17,2011-07-17,17 Jul 2011,North America,Canada,Nunavut,"Cambridge Bay, Small snow melt flow into ocean, along beach west of town",69.1193833,-105.4732333,69°7.163'N,105°28.394'W,General,
ROME206305,P. Schaefer,4,Larvae; Pupae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,baffinense,"Twinn, 1936","Simulium baffinense Twinn, 1936",ROM002010237,2010-07-20,2010-07-20,2010-07-20,20 Jul 2010,North America,Canada,Nunavut,"Sylvia Grinnell Territorial Park. Tundra pond outflow in park, 75cm stream",63.7563333,-68.5770167,63°45.38'N,68°34.621'W,,Simuliidae
ROME206306,P. Schaefer,15,Larvae; Pupae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,baffinense,"Twinn, 1936","Simulium baffinense Twinn, 1936",ROM002010238,2010-07-22,2010-07-22,2010-07-22,22 Jul 2010,North America,Canada,Nunavut,"Uphill Pond outflow, trib of Apex R., 30cm stream",63.757,-68.4738167,63°45.42'N,68°28.429'W,,Simuliidae
ROME206307,P. Schaefer,3,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,burgeri,"Adler, Currie & Wood, 2004","Simulium burgeri Adler, Currie & Wood, 2004",ROM002011174,2011-06-14,2011-06-14,2011-06-14,14 Jun 2011,North America,Canada,Northwest Territories,Outflow of Rater Lake at Vee Lake Rd,62.5630833,-114.3562167,62°33.785'N,114°21.373'W,General,
ROME206308,DC Currie; P. Schaefer,10,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,craigi,"Adler & Currie, 1986","Simulium craigi Adler & Currie, 1986",ROM002010241,2010-06-18,2010-06-18,2010-06-18,18 Jun 2010,North America,Canada,Ontario,"Store Creek below weir, 10 m wide stream",51.27455,-80.6504167,51°16.473'N,80°39.025'W,Aquatic,
ROME206309,DC Currie; P. Schaefer,10,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,craigi,"Adler & Currie, 1986","Simulium craigi Adler & Currie, 1986",ROM002010243,2010-06-19,2010-06-19,2010-06-19,19 Jun 2010,North America,Canada,Ontario,"1.2m tributary of Moose River, 0.28km W Butler Creek Bridge on Ferguson Road",51.2829333,-80.6200167,51°16.976'N,80°37.201'W,Aquatic,
ROME206310,DC Currie; P. Schaefer,20,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,craigi,"Adler & Currie, 1986","Simulium craigi Adler & Currie, 1986",ROM002010246,2010-06-20,2010-06-20,2010-06-20,20 Jun 2010,North America,Canada,Ontario,20 cm tributary of Store Creek ca. 0.5 km upstream of railway bridge on left bank trail,51.2774167,-80.6540333,51°16.645'N,80°39.242'W,Aquatic,
ROME206311,DC Currie; P. Schaefer,2,Pupae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,craigi,"Adler & Currie, 1986","Simulium craigi Adler & Currie, 1986",ROM002010248,2010-06-24,2010-06-24,2010-06-24,24 Jun 2010,North America,Canada,Ontario,30 cm culvert stream on Percy S Way nr. jct. Quarry Road,51.2663667,-80.6569,51°15.982'N,80°39.414'W,Aquatic,"Ethanol, Carnoys, Trichoptera separately in ethanol"
ROME206312,DC Currie; P. Schaefer,2,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,craigi,"Adler & Currie, 1986","Simulium craigi Adler & Currie, 1986",ROM002010251,2010-06-27,2010-06-27,2010-06-27,27 Jun 2010,North America,Canada,Ontario,"1.2 m tributary of Moose River, 0.28 km w. Butler Creek Bridge on Ferguson Road",51.2829333,-80.6200167,51°16.976'N,80°37.201'W,Aquatic,Site 6 revisited
ROME206313,DJ Giberson,5,Larvae; Pupae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,craigi,"Adler & Currie, 1986","Simulium craigi Adler & Currie, 1986",ROM002010369,2010-07-03,2010-07-03,2010-07-03,3 Jul 2010,North America,Canada,Quebec,"Culvert between 2 ponds, 8 km E of town",54.8342667,-66.6890167,54°50.056'N,66°41.341'W,General,
ROME206314,DJ Giberson,10,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,craigi,"Adler & Currie, 1986","Simulium craigi Adler & Currie, 1986",ROM002010370,2010-07-03,2010-07-03,2010-07-03,3 Jul 2010,North America,Canada,Quebec,"Pond inlet, 25 km SE on Huston Rd",54.8977833,-67.1232333,54°53.867'N,67°7.394'W,General,
ROME206315,P. Schaefer,50,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,craigi,"Adler & Currie, 1986","Simulium craigi Adler & Currie, 1986",ROM002011184,2011-07-03,2011-07-03,2011-07-03,3 Jul 2011,North America,Canada,Nunavut,Snow melt tributary to S Lake,67.7848667,-115.2798167,67°47.092'N,115°16.789'W,General,
ROME206316,DC Currie; P. Schaefer,100,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,croxtoni,"Nicholson & Mickel, 1950","Simulium croxtoni Nicholson & Mickel, 1950",ROM002010248,2010-06-24,2010-06-24,2010-06-24,24 Jun 2010,North America,Canada,Ontario,30 cm culvert stream on Percy S Way nr. jct. Quarry Road,51.2663667,-80.6569,51°15.982'N,80°39.414'W,Aquatic,"Ethanol, Carnoys, Trichoptera separately in ethanol"
ROME206317,P. Schaefer,100,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,croxtoni,"Nicholson & Mickel, 1950","Simulium croxtoni Nicholson & Mickel, 1950",ROM002011169,2011-06-09,2011-06-09,2011-06-09,9 Jun 2011,North America,Canada,Northwest Territories,"Beaver Pond Outflow, at crossing with Hwy.3, 28km west of Yellowknife",62.5245667,-115.2060667,62°31.474'N,115°12.364'W,General,
ROME206318,P. Schaefer,8,Larvae; Pupae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,croxtoni,"Nicholson & Mickel, 1950","Simulium croxtoni Nicholson & Mickel, 1950",ROM002011174,2011-06-14,2011-06-14,2011-06-14,14 Jun 2011,North America,Canada,Northwest Territories,Outflow of Rater Lake at Vee Lake Rd,62.5630833,-114.3562167,62°33.785'N,114°21.373'W,General,
ROME206319,DC Currie,8,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,decimatum,"Dorogostaisky, Rubtsov & Vlasenko, 1935","Simulium decimatum Dorogostaisky, Rubtsov & Vlasenko, 1935",ROM002003204,2003-07-10,2003-07-10,2003-07-10,10 Jul 2003,North America,Canada,Nunavut,warm tributary of Maguse River,61.299,-94.0852667,"61°17.94'0""N","94°5.116'0""W",Aquatic,"temp 17°C,  immature blackflies"
ROME206320,P. Schaefer,20,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,decorum,"Walker, 1848","Simulium decorum Walker, 1848",ROM002010237,2010-07-20,2010-07-20,2010-07-20,20 Jul 2010,North America,Canada,Nunavut,"Sylvia Grinnell Territorial Park. Tundra pond outflow in park, 75cm stream",63.7563333,-68.5770167,63°45.38'N,68°34.621'W,,Simuliidae
ROME206321,P. Schaefer,50,Pupae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,decorum,"Walker, 1848","Simulium decorum Walker, 1848",ROM002010237,2010-07-20,2010-07-20,2010-07-20,20 Jul 2010,North America,Canada,Nunavut,"Sylvia Grinnell Territorial Park. Tundra pond outflow in park, 75cm stream",63.7563333,-68.5770167,63°45.38'N,68°34.621'W,,Simuliidae
ROME206322,P. Schaefer,20,Larvae; Pupae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,decorum,"Walker, 1848","Simulium decorum Walker, 1848",ROM002010238,2010-07-22,2010-07-22,2010-07-22,22 Jul 2010,North America,Canada,Nunavut,"Uphill Pond outflow, trib of Apex R., 30cm stream",63.757,-68.4738167,63°45.42'N,68°28.429'W,,Simuliidae
ROME206323,P. Schaefer,1,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,decorum,"Walker, 1848","Simulium decorum Walker, 1848",ROM002010276,2010-07-04,2010-07-04,2010-07-04,4 Jul 2010,North America,Canada,Manitoba,Goose Creek Road,58.705,-93.1312667,58°42.3'N,93°7.876'W,Aquatic,
ROME206324,P. Schaefer,1,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,decorum,"Walker, 1848","Simulium decorum Walker, 1848",ROM002011164,2011-06-08,2011-06-08,2011-06-08,8 Jun 2011,North America,Canada,Northwest Territories,Cameron River rapids at end of trail from Cameron River day use area,62.49595,-113.5503833,62°29.757'N,113°33.023'W,General,
ROME206325,P. Schaefer,1,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,decorum,"Walker, 1848","Simulium decorum Walker, 1848",ROM002011166,2011-06-08,2011-06-08,2011-06-08,8 Jun 2011,North America,Canada,Northwest Territories,Outflow from unnamed lake between Pontoon and Madeline Lake km25 of Ingraham Trail,62.5494833,-114.0453333,62°32.969'N,114°2.72'W,General,
ROME206326,P. Schaefer,1,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,noelleri,"Friederichs, 1920","Simulium noelleri Friederichs, 1920",ROM002011168,2011-06-09,2011-06-09,2011-06-09,9 Jun 2011,North America,Canada,Northwest Territories,"Boundary Creek at crossing with Hwy.3, 34km west of Yellowknife",62.5346,-114.97095,62°32.076'N,114°58.257'W,General,
ROME206327,P. Schaefer,4,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,decorum/noelleri,,,ROM002011172,2011-06-12,2011-06-12,2011-06-12,12 Jun 2011,North America,Canada,Northwest Territories,Hill Creek at crossing with Hwy.4,62.73565,-115.6958333,62°44.139'N,115°41.75'W,General,
ROME206328,P. Schaefer,50,Pupae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,decorum/noelleri,,,ROM002010272,2010-07-03,2010-07-03,2010-07-03,3 Jul 2010,North America,Canada,Manitoba,Ramsay Creek at outlet of Ramsay Lake,58.7288167,-93.7832667,58°43.729'N,93°46.996'W,Aquatic,
ROME206329,DC Currie; P. Schaefer,100,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,dendrofilum,"(Patrusheva, 1962)","Simulium dendrofilum (Patrusheva, 1962)",ROM002012207,2012-07-24,2012-07-24,2012-07-24,24 Jul 2012,North America,Canada,Nunavut,"1m wide pond outflow 1 km west of Cambridge Bay, near golf course",69.1112667,-105.0880667,69°6.676'N,105°5.284'W,Aquatic,"Site 9: clear water, very productive, moderate flow, rock and veg substrate, 16°C"
ROME206330,P. Schaefer,1,Pupae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,fionae,"Adler, 1990","Simulium fionae Adler, 1990",ROM002011165,2011-06-08,2011-06-08,2011-06-08,8 Jun 2011,North America,Canada,Northwest Territories,"30cm Lake Outflow, km50 of Ingraham Trail",62.5262667,-113.8377167,62°31.576'N,113°50.263'W,General,
ROME206331,P. Schaefer,1,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,fionae,"Adler, 1990","Simulium fionae Adler, 1990",ROM002011172,2011-06-12,2011-06-12,2011-06-12,12 Jun 2011,North America,Canada,Northwest Territories,Hill Creek at crossing with Hwy.4,62.73565,-115.6958333,62°44.139'N,115°41.75'W,General,
ROME206332,DC Currie,6,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,furculatum,"Shewell, 1952","Simulium furculatum Shewell, 1952",ROM002003204,2003-07-10,2003-07-10,2003-07-10,10 Jul 2003,North America,Canada,Nunavut,warm tributary of Maguse River,61.299,-94.0852667,"61°17.94'0""N","94°5.116'0""W",Aquatic,"temp 17°C,  immature blackflies"
ROME206333,DC Currie,5,Larvae; Pupae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,furculatum,"Shewell, 1952","Simulium furculatum Shewell, 1952",ROM002003216,2003-07-19,2003-07-19,2003-07-19,19 Jul 2003,North America,Canada,Nunavut,"14 km NW Rankin Inlet, outflow. 'Little' Meliadine Lake",62.91415,-92.2108667,"62°54.849'0""N","92°12.652'0""W",Aquatic,immature blackflies
ROME206334,P. Schaefer,1,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,furculatum,"Shewell, 1952","Simulium furculatum Shewell, 1952",ROM002010277,2010-07-11,2010-07-11,2010-07-11,11 Jul 2010,North America,Canada,Manitoba,Nanuq,58.7413833,-93.8897667,58°44.483'N,93°53.386'W,Aquatic,
ROME206335,P. Schaefer,100,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,furculatum,"Shewell, 1952","Simulium furculatum Shewell, 1952",ROM002011163,2011-06-08,2011-06-08,2011-06-08,8 Jun 2011,North America,Canada,Northwest Territories,Cameron River at crossing with Ingraham Trail,62.4923833,-113.5469333,62°29.543'N,113°32.816'W,General,
ROME206336,DC Currie; P. Schaefer,100,Larvae; Pupae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,giganteum,"Rubtsov, 1940","Simulium giganteum Rubtsov, 1940",ROM002012200,2012-07-22,2012-07-22,2012-07-22,22 Jul 2012,North America,Canada,Nunavut,"Cambridge Bay, 0.75m wide, warm pond outflow immediately E. twin bridges",69.1254833,-104.9987333,69°7.529'N,104°59.924'W,Aquatic,"Site 1:  warm clear water, rock and veg substrate, med flow, 11°C."
ROME206337,DC Currie; P. Schaefer,20,Larvae; Pupae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,giganteum,"Rubtsov, 1940","Simulium giganteum Rubtsov, 1940",ROM002012203,2012-07-23,2012-07-23,2012-07-23,23 Jul 2012,North America,Canada,Nunavut,"Cambridge Bay, 8m wide stream between 2 ponds",69.1787,-104.82325,69°10.722'N,104°49.395'W,Aquatic,"Site 5:  100m long, moderate flow, highly productive, 13°C"
ROME206338,DC Currie; P. Schaefer,100,Pupae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,giganteum,"Rubtsov, 1940","Simulium giganteum Rubtsov, 1940",ROM002012208,2012-07-25,2012-07-25,2012-07-25,25 Jul 2012,North America,Canada,Nunavut,"Cambridge Bay, 1.0-1.5m wide outlet tundra pond near DEW line station",69.1195,-105.1278,69°7.17'N,105°7.668'W,Aquatic,"Site 10:  clear water, slow to moderate flow, rock and veg substrate, 12°C"
ROME206339,DC Currie; P. Schaefer,40,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,giganteum,"Rubtsov, 1940","Simulium giganteum Rubtsov, 1940",ROM002012209,2012-07-25,2012-07-25,2012-07-25,25 Jul 2012,North America,Canada,Nunavut,"Cambridge Bay, 6m wide tundra pond outlet along DEW line road",69.1581667,-105.19165,69°9.49'N,105°11.499'W,Aquatic,"Site 11:  100m long, clear, fast water, rock and veg substrate, 13°C"
ROME206340,DC Currie; P. Schaefer,200,Larvae; Pupae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,giganteum,"Rubtsov, 1940","Simulium giganteum Rubtsov, 1940",ROM002012209,2012-07-25,2012-07-25,2012-07-25,25 Jul 2012,North America,Canada,Nunavut,"Cambridge Bay, 6m wide tundra pond outlet along DEW line road",69.1581667,-105.19165,69°9.49'N,105°11.499'W,Aquatic,"Site 11:  100m long, clear, fast water, rock and veg substrate, 13°C"
ROME206341,DC Currie; P. Schaefer,40,Larvae; Pupae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,giganteum,"Rubtsov, 1940","Simulium giganteum Rubtsov, 1940",ROM002012210,2012-07-25,2012-07-25,2012-07-25,25 Jul 2012,North America,Canada,Nunavut,"Cambridge Bay, 1m wide outlet to tundra pond",69.1949167,-105.2075167,69°11.695'N,105°12.451'W,Aquatic,"Site 12:  clear water, moderate flow, mostly grass some rock substrate, 13°C"
ROME206342,DC Currie; P. Schaefer,200,Larvae; Pupae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,giganteum,"Rubtsov, 1940","Simulium giganteum Rubtsov, 1940",ROM002012211,2012-07-25,2012-07-25,2012-07-25,25 Jul 2012,North America,Canada,Nunavut,"Cambridge Bay, 2m wide stream between two tundra ponds",69.2194833,-105.2163333,69°13.169'N,105°12.98'W,Aquatic,"Site 13:  clear, moderate flow, grass and rock substrate, 13°C"
ROME206343,DC Currie; P. Schaefer,4,Pupae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,giganteum,"Rubtsov, 1940","Simulium giganteum Rubtsov, 1940",ROM002012214,2012-07-27,2012-07-27,2012-07-27,27 Jul 2012,North America,Canada,Nunavut,2-4m wide inflow to Mad Dog Lake,69.3639,-108.75045,69°21.834'N,108°45.027'W,Aquatic,"Site 16:  tumbling stream, clear water, fast flow, mostly rock substrate, 10°C"
ROME206344,DC Currie; P. Schaefer,1,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,giganteum,"Rubtsov, 1940","Simulium giganteum Rubtsov, 1940",ROM002012216,2012-07-27,2012-07-27,2012-07-27,27 Jul 2012,North America,Canada,Nunavut,20m wide inflow into Byron Bay,68.9477167,-108.5011167,68°56.863'N,108°30.067'W,Aquatic,"Site 18:  wide braided stream. Clear, moderate flow, rock and grass substrate, 11°C"
ROME206345,DC Currie; P. Schaefer,1,Pupae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,giganteum,"Rubtsov, 1940","Simulium giganteum Rubtsov, 1940",ROM002012218,2012-07-28,2012-07-28,2012-07-28,28 Jul 2012,North America,Canada,Nunavut,0.5m wide pond outlet,69.7703,-108.15835,69°46.218'N,108°9.501'W,Aquatic,Site 20
ROME206346,DC Currie; P. Schaefer,10,Pupae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,giganteum,"Rubtsov, 1940","Simulium giganteum Rubtsov, 1940",ROM002012219,2012-07-28,2012-07-28,2012-07-28,28 Jul 2012,North America,Canada,Nunavut,"60m wide rapid, flowing river",69.808,-108.5586667,69°48.48'N,108°33.52'W,Aquatic,Site 21
ROME206347,P. Schaefer,4,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,murmanum,"Enderlein, 1935","Simulium murmanum Enderlein, 1935",ROM002011190,2011-07-16,2011-07-16,2011-07-16,16 Jul 2011,North America,Canada,Nunavut,"Cambridge Bay, Small pond outflow on West Arm",69.0993167,-105.2226833,69°5.959'N,105°13.361'W,General,
ROME206348,DC Currie; P. Schaefer,2,Exuviae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,murmanum,"Enderlein, 1935","Simulium murmanum Enderlein, 1935",ROM002010242,2010-06-18/2010-06-19,2010-06-18,2010-06-19,18-19 Jun 2010,North America,Canada,Ontario,"20 cm. tributary of Store Creek, left bank below weir",51.27445,-80.6505833,51°16.467'N,80°39.035'W,Aquatic,Ethanol &amp; Carnoys
ROME206349,C. Buddle,200,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,murmanum,"Enderlein, 1935","Simulium murmanum Enderlein, 1935",ROM002010375,2010-06-17,2010-06-17,2010-06-17,17 Jun 2010,North America,Canada,Newfoundland and Labrador,"7 m stream, across Grand Lakes Rd, 22 km N of junction with NW River Rd.",53.5174333,-60.6573667,53°31.046'N,60°39.442'W,General,
ROME206350,C. Buddle,50,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,murmanum,"Enderlein, 1935","Simulium murmanum Enderlein, 1935",ROM002010377,2010-06-07,2010-06-07,2010-06-07,7 Jun 2010,North America,Canada,Newfoundland and Labrador,"20m river, 2 km along road which exits Grand Lakes Rd. 26 km from junction with NW River Rd.",53.5743167,-60.7077,53°34.459'N,60°42.462'W,General,
ROME206351,P. Schaefer,20,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,sp.,,,ROM002011192,2011-07-13,2011-07-13,2011-07-13,13 Jul 2011,North America,Canada,Nunavut,"Cambridge Bay, Small ice melt stream into ocean next to large river west of town",69.1448667,-105.4879333,69°8.692'N,105°29.276'W,General,
